#           x             y             z             p           U_x           U_y           U_z
         -0.5            -1           0.5             0       38.1656       7.19633             0
    -0.484375            -1           0.5             0       38.1656       7.19633             0
     -0.46875            -1           0.5             0       38.1656       7.19633             0
    -0.453125            -1           0.5             0       38.1656       7.19633             0
      -0.4375            -1           0.5             0       38.1656       7.19633             0
    -0.421875            -1           0.5             0       38.1656       7.19633             0
     -0.40625            -1           0.5             0       38.1656       7.19633             0
    -0.390625            -1           0.5             0       38.1656       7.19633             0
       -0.375            -1           0.5             0       38.1656       7.19633             0
    -0.359375            -1           0.5             0       38.1656       7.19633             0
     -0.34375            -1           0.5             0       38.1656       7.19633             0
    -0.328125            -1           0.5             0       38.1656       7.19633             0
      -0.3125            -1           0.5             0       38.1656       7.19633             0
    -0.296875            -1           0.5             0       38.1656       7.19633             0
     -0.28125            -1           0.5             0       38.1656       7.19633             0
    -0.265625            -1           0.5             0       38.1656       7.19633             0
        -0.25            -1           0.5             0       38.1656       7.19633             0
    -0.234375            -1           0.5             0       38.1656       7.19633             0
     -0.21875            -1           0.5             0       38.1656       7.19633             0
    -0.203125            -1           0.5             0       38.1656       7.19633             0
      -0.1875            -1           0.5             0       38.1656       7.19633             0
    -0.171875            -1           0.5             0       38.1656       7.19633             0
     -0.15625            -1           0.5             0       38.1656       7.19633             0
    -0.140625            -1           0.5             0       38.1656       7.19633             0
       -0.125            -1           0.5             0       38.1656       7.19633             0
    -0.109375            -1           0.5             0       38.1656       7.19633             0
     -0.09375            -1           0.5             0       38.1656       7.19633             0
    -0.078125            -1           0.5             0       38.1656       7.19633             0
      -0.0625            -1           0.5             0       38.1656       7.19633             0
    -0.046875            -1           0.5             0       38.1656       7.19633             0
     -0.03125            -1           0.5             0       38.1656       7.19633             0
    -0.015625            -1           0.5             0       38.1656       7.19633             0
  1.64799e-17            -1           0.5             0       38.1656       7.19633             0
     0.015625            -1           0.5             0       38.1656       7.19633             0
      0.03125            -1           0.5             0       38.1656       7.19633             0
     0.046875            -1           0.5             0       38.1656       7.19633             0
       0.0625            -1           0.5             0       38.1656       7.19633             0
     0.078125            -1           0.5             0       38.1656       7.19633             0
      0.09375            -1           0.5             0       38.1656       7.19633             0
     0.109375            -1           0.5             0       38.1656       7.19633             0
        0.125            -1           0.5             0       38.1656       7.19633             0
     0.140625            -1           0.5             0       38.1656       7.19633             0
      0.15625            -1           0.5             0       38.1656       7.19633             0
     0.171875            -1           0.5             0       38.1656       7.19633             0
       0.1875            -1           0.5             0       38.1656       7.19633             0
     0.203125            -1           0.5             0       38.1656       7.19633             0
      0.21875            -1           0.5             0       38.1656       7.19633             0
     0.234375            -1           0.5             0       38.1656       7.19633             0
