#           x             y             z             p           U_x           U_y           U_z
     0.859375            -1           0.5       77.4261       36.7913       5.16511   5.04703e-20
        0.875            -1           0.5       76.7718       36.8126        5.1571   3.84497e-20
     0.890625            -1           0.5       76.1559       36.8323       5.14946   1.02213e-21
      0.90625            -1           0.5       75.3487       36.8545       5.14349   1.11624e-21
     0.921875            -1           0.5       74.5888       36.8769       5.13585  -1.37529e-20
       0.9375            -1           0.5       73.9123       36.8969       5.13106  -1.83671e-21
     0.953125            -1           0.5       73.2362       36.9179       5.12471  -5.74608e-21
      0.96875            -1           0.5       72.5413       36.9369       5.11915   2.59132e-19
     0.984375            -1           0.5       72.0142       36.9588       5.11766  -6.12215e-19
            1            -1           0.5       71.1422       36.9784       5.10493  -5.13813e-19
      1.01562            -1           0.5         70.48       36.9963       5.10314  -3.44487e-20
      1.03125            -1           0.5       69.7895       37.0159       5.09873  -2.10457e-20
      1.04688            -1           0.5       69.1763       37.0347       5.09438  -1.17133e-20
       1.0625            -1           0.5       68.5196       37.0543       5.08929   1.17838e-22
      1.07812            -1           0.5       67.8936       37.0723       5.08694  -4.17275e-20
      1.09375            -1           0.5       67.2407       37.0914       5.08315  -6.28915e-20
      1.10938            -1           0.5       66.5795       37.1097       5.08054  -1.80474e-19
        1.125            -1           0.5       65.8943       37.1298       5.07713   1.38125e-19
      1.14062            -1           0.5       65.2284        37.147       5.07559   7.02103e-19
      1.15625            -1           0.5       64.6475       37.1655       5.07301  -2.22464e-19
      1.17188            -1           0.5        64.001       37.1833       5.06981  -3.86066e-22
       1.1875            -1           0.5       63.3604       37.2016       5.06703  -2.23141e-20
      1.20312            -1           0.5       62.8398       37.2179       5.06604   7.78046e-21
      1.21875            -1           0.5       62.1657       37.2356        5.0635   3.52163e-20
      1.23438            -1           0.5       61.5938       37.2517       5.06139   3.09442e-20
         1.25            -1           0.5       60.9383       37.2693       5.06187  -5.97235e-19
      1.26562            -1           0.5       60.3669       37.2858       5.06002   9.51773e-20
      1.28125            -1           0.5       59.6991        37.302       5.05915   1.07472e-20
      1.29688            -1           0.5       59.0101       37.3193       5.05878  -1.88511e-20
       1.3125            -1           0.5       58.4291       37.3361       5.05706  -5.98316e-19
      1.32812            -1           0.5       57.9143       37.3517       5.05604  -2.41393e-19
      1.34375            -1           0.5       57.3439       37.3681       5.05471   -2.0408e-19
      1.35938            -1           0.5       56.8171       37.3823       5.05468  -1.11186e-19
        1.375            -1           0.5       56.3078       37.3975       5.05234   1.70278e-19
      1.39062            -1           0.5        55.737       37.4126        5.0529   2.68967e-19
      1.40625            -1           0.5       55.1592       37.4275       5.05513   2.51017e-19
      1.42188            -1           0.5       54.6087       37.4435       5.05483   3.51519e-20
       1.4375            -1           0.5       54.0535       37.4577       5.05487    9.6463e-20
      1.45312            -1           0.5       53.4502       37.4729       5.05447   1.19684e-19
      1.46875            -1           0.5       52.9613       37.4868       5.05613    1.6861e-19
      1.48438            -1           0.5       52.4801       37.5004       5.05688  -4.76557e-19
         -0.5     -0.984375           0.5       79.0554       36.3036       7.43012  -2.25799e-19
    -0.484375     -0.984375           0.5       79.9366       36.2834       7.41121  -2.14441e-19
     -0.46875     -0.984375           0.5       80.8293       36.2628       7.39281  -1.99409e-19
    -0.453125     -0.984375           0.5       81.8235       36.2413       7.37218  -1.74166e-19
      -0.4375     -0.984375           0.5       82.9528       36.2172       7.35198   2.01525e-19
    -0.421875     -0.984375           0.5       83.8745       36.1946       7.33137  -1.49622e-19
     -0.40625     -0.984375           0.5       84.8523       36.1763       7.30489  -8.19722e-19
    -0.390625     -0.984375           0.5       85.6633       36.1579       7.28167   -2.7814e-19
       -0.375     -0.984375           0.5       86.6307       36.1367       7.25878  -1.37992e-19
    -0.359375     -0.984375           0.5       87.7035       36.1137       7.23034  -6.91368e-20
     -0.34375     -0.984375           0.5       88.5502       36.0926       7.20598  -2.67097e-21
    -0.328125     -0.984375           0.5       89.4524       36.0701       7.17945   4.56378e-21
      -0.3125     -0.984375           0.5       90.6015       36.0429        7.1555   1.12947e-20
    -0.296875     -0.984375           0.5       91.4049       36.0278       7.12602   1.18434e-19
     -0.28125     -0.984375           0.5       92.0006        36.018       7.09144   7.02059e-20
